time_utc,open,high,low,close,tick_volume,spread,real_volume
2026-07-03T08:41:00+00:00,25724.9,25724.9,25720.1,25720.9,15,21,0
2026-07-03T08:42:00+00:00,25720.9,25720.9,25713.1,25715.9,22,21,0
2026-07-03T08:43:00+00:00,25715.9,25719.9,25711.9,25715.9,20,25,0
2026-07-03T08:44:00+00:00,25715.9,25715.9,25709.9,25710.1,13,21,0
2026-07-03T08:45:00+00:00,25710.1,25716.9,25710.1,25713.9,29,21,0
2026-07-03T08:46:00+00:00,25713.9,25714.9,25710.9,25714.9,7,21,0
2026-07-03T08:47:00+00:00,25712.9,25712.9,25709.1,25709.9,15,21,0
2026-07-03T08:48:00+00:00,25709.9,25709.9,25704.9,25706.1,6,21,0
2026-07-03T08:49:00+00:00,25706.1,25714.9,25704.1,25710.9,15,21,0
2026-07-03T08:50:00+00:00,25713.9,25716.4,25711.1,25711.1,22,21,0
2026-07-03T08:51:00+00:00,25709.9,25714.4,25708.9,25710.9,16,25,0
2026-07-03T08:52:00+00:00,25710.9,25713.4,25709.1,25710.9,23,21,0
2026-07-03T08:53:00+00:00,25710.9,25712.9,25709.9,25709.9,15,21,0
2026-07-03T08:54:00+00:00,25709.9,25710.9,25706.6,25709.1,17,21,0
2026-07-03T08:55:00+00:00,25709.1,25713.4,25705.9,25709.9,19,21,0
2026-07-03T08:56:00+00:00,25709.9,25713.9,25708.9,25712.9,14,25,0
2026-07-03T08:57:00+00:00,25711.9,25714.9,25710.9,25711.1,13,21,0
2026-07-03T08:58:00+00:00,25711.1,25720.1,25711.1,25718.1,26,21,0
2026-07-03T08:59:00+00:00,25718.9,25719.1,25713.6,25716.9,24,21,0
2026-07-03T09:00:00+00:00,25716.9,25727.7,25716.7,25726.7,39,9,0
2026-07-03T09:01:00+00:00,25726.7,25729.7,25720.7,25726.7,31,9,0
2026-07-03T09:02:00+00:00,25726.7,25734.7,25722.7,25733.7,31,9,0
2026-07-03T09:03:00+00:00,25732.7,25736.7,25728.7,25731.7,36,9,0
2026-07-03T09:04:00+00:00,25732.7,25736.7,25730.7,25735.7,15,9,0
2026-07-03T09:05:00+00:00,25735.7,25747.7,25735.7,25744.7,39,9,0
2026-07-03T09:06:00+00:00,25743.7,25751.7,25741.7,25749.7,31,9,0
